,Brent,Oro,DJ,SP500,TRM
2022-02-03,91.11000061035156,1803.0,35111.16015625,4477.43994140625,3931.929931640625
2022-02-04,93.2699966430664,1806.5999755859375,35089.73828125,4500.52978515625,3952.8701171875
2022-02-07,92.69000244140625,1820.5999755859375,35091.12890625,4483.8701171875,3954.7900390625
2022-02-08,90.77999877929688,1826.5999755859375,35462.78125,4521.5400390625,3963.489990234375
2022-02-09,91.55000305175781,1835.199951171875,35768.05859375,4587.18017578125,3952.1298828125
2022-02-10,91.41000366210938,1836.199951171875,35241.58984375,4504.080078125,3933.39990234375
2022-02-11,94.44000244140625,1840.800048828125,34738.05859375,4418.64013671875,3917.090087890625
2022-02-14,96.4800033569336,1868.0,34566.171875,4401.669921875,3895.65869140625
2022-02-15,93.27999877929688,1854.800048828125,34988.83984375,4471.06982421875,3942.669921875
2022-02-16,94.80999755859375,1870.199951171875,34934.26953125,4475.009765625,3948.580078125
2022-02-17,92.97000122070312,1900.699951171875,34312.03125,4380.259765625,3962.68994140625
2022-02-18,93.54000091552734,1898.5999755859375,34079.1796875,4348.8701171875,3942.75
2022-02-22,96.83999633789062,1906.0999755859375,33596.609375,4304.759765625,3932.199951171875
2022-02-23,96.83999633789062,1909.199951171875,33131.76171875,4225.5,3927.919921875
2022-02-24,99.08000183105469,1925.0999755859375,33223.828125,4288.7001953125,3911.090087890625
2022-02-25,97.93000030517578,1886.5,34058.75,4384.64990234375,3924.75
2022-02-28,100.98999786376953,1899.4000244140625,33892.6015625,4373.93994140625,3853.7451171875
2022-03-01,100.8499984741211,1942.4000244140625,33294.94921875,4306.259765625,3925.919921875
2022-03-02,112.93000030517578,1920.9000244140625,33891.3515625,4386.5400390625,3880.919921875
2022-03-03,110.45999908447266,1934.4000244140625,33794.66015625,4363.490234375,3845.919921875
2022-03-04,118.11000061035156,1965.0999755859375,33614.80078125,4328.8701171875,3757.699951171875
2022-03-07,123.20999908447266,1993.9000244140625,32817.37890625,4201.08984375,3731.724609375
2022-03-08,127.9800033569336,2040.0999755859375,32632.640625,4170.7001953125,3808.75
2022-03-09,111.13999938964844,1985.9000244140625,33286.25,4277.8798828125,3771.1201171875
2022-03-10,109.33000183105469,1998.0999755859375,33174.0703125,4259.52001953125,3739.75
2022-03-11,112.66999816894531,1982.699951171875,32944.19140625,4204.31005859375,3816.919921875
2022-03-14,106.9000015258789,1959.5999755859375,32945.23828125,4173.10986328125,3817.590087890625
2022-03-15,99.91000366210938,1928.5,33544.33984375,4262.4501953125,3795.320068359375
2022-03-16,98.0199966430664,1908.0,34063.1015625,4357.85986328125,3830.919921875
2022-03-17,106.63999938964844,1942.0999755859375,34480.76171875,4411.669921875,3832.570068359375
2022-03-18,107.93000030517578,1928.199951171875,34754.9296875,4463.1201171875,3817.919921875
2022-03-21,115.62000274658203,1928.5999755859375,34552.98828125,4461.18017578125,3818.090087890625
2022-03-22,115.4800033569336,1920.699951171875,34807.4609375,4511.60986328125,3803.75
2022-03-23,121.5999984741211,1936.5999755859375,34358.5,4456.240234375,3763.590087890625
2022-03-24,119.02999877929688,1961.5999755859375,34707.94140625,4520.16015625,3768.919921875
2022-03-25,120.6500015258789,1953.800048828125,34861.23828125,4543.06005859375,3785.919921875
2022-03-28,112.4800033569336,1939.5999755859375,34955.890625,4575.52001953125,3792.909912109375
2022-03-29,110.2300033569336,1912.0,35294.19140625,4631.60009765625,3781.389892578125
2022-03-30,113.44999694824219,1933.5,35228.80859375,4602.4501953125,3760.02001953125
2022-03-31,107.91000366210938,1949.199951171875,34678.3515625,4530.41015625,3749.389892578125
2022-04-01,107.66999816894531,1919.0999755859375,34818.26953125,4545.85986328125,3764.090087890625
2022-04-04,107.52999877929688,1929.199951171875,34921.87890625,4582.64013671875,3747.31005859375
2022-04-05,106.63999938964844,1922.9000244140625,34641.1796875,4525.1201171875,3702.75
2022-04-06,101.06999969482422,1918.4000244140625,34496.51171875,4481.14990234375,3731.219970703125
2022-04-07,100.58000183105469,1933.800048828125,34583.5703125,4500.2099609375,3745.919921875
2022-04-08,102.77999877929688,1941.5999755859375,34721.12109375,4488.27978515625,3757.550048828125
2022-04-11,98.4800033569336,1944.300048828125,34308.078125,4412.52978515625,3755.260009765625
2022-04-12,104.63999938964844,1972.0999755859375,34220.359375,4397.4501953125,3740.919921875
2022-04-13,108.77999877929688,1981.0,34564.58984375,4446.58984375,3748.469970703125
2022-04-14,111.69999694824219,1970.9000244140625,34451.23046875,4392.58984375,3720.919921875
2022-04-18,113.16000366210938,1982.9000244140625,34411.69140625,4391.68994140625,3721.260009765625
2022-04-19,107.25,1955.699951171875,34911.19921875,4462.2099609375,3730.25
2022-04-20,106.80000305175781,1952.300048828125,35160.7890625,4459.4501953125,3747.25
2022-04-21,108.33000183105469,1944.9000244140625,34792.76171875,4393.66015625,3756.85009765625
2022-04-22,106.6500015258789,1931.0,33811.3984375,4271.77978515625,3774.3701171875
2022-04-25,102.31999969482422,1893.199951171875,34049.4609375,4296.1201171875,3854.260009765625
2022-04-26,104.98999786376953,1901.4000244140625,33240.1796875,4175.2001953125,3934.75
2022-04-27,105.31999969482422,1885.9000244140625,33301.9296875,4183.9599609375,3941.5400390625
2022-04-28,107.58999633789062,1888.699951171875,33916.390625,4287.5,3960.580078125
2022-04-29,109.33999633789062,1909.300048828125,32977.2109375,4131.93017578125,3971.550048828125
2022-05-02,109.36000061035156,1861.800048828125,33061.5,4155.3798828125,3956.25
2022-05-03,104.97000122070312,1868.800048828125,33128.7890625,4175.47998046875,3999.570068359375
2022-05-04,110.13999938964844,1867.0,34061.05859375,4300.169921875,4023.919921875
2022-05-05,110.9000015258789,1874.0,32997.96875,4146.8701171875,4067.419921875
2022-05-06,112.38999938964844,1881.199951171875,32899.37109375,4123.33984375,4089.580078125
2022-05-09,105.94000244140625,1857.0999755859375,32245.69921875,3991.239990234375,4056.0
2022-05-10,102.45999908447266,1839.9000244140625,32160.740234375,4001.050048828125,4085.580078125
2022-05-11,107.51000213623047,1852.5999755859375,31834.109375,3935.179931640625,4080.25
2022-05-12,107.44999694824219,1823.800048828125,31730.30078125,3930.080078125,4080.25
2022-05-13,111.55000305175781,1807.4000244140625,32196.66015625,4023.889892578125,4108.740234375
2022-05-16,114.23999786376953,1813.5,32223.419921875,4008.010009765625,4108.75
2022-05-17,111.93000030517578,1818.199951171875,32654.58984375,4088.85009765625,4055.25
2022-05-18,109.11000061035156,1815.9000244140625,31490.0703125,3923.679931640625,4032.580078125
2022-05-19,112.04000091552734,1841.199951171875,31253.130859375,3900.7900390625,4067.219970703125
2022-05-20,112.55000305175781,1841.800048828125,31261.900390625,3901.360107421875,4048.72998046875
2022-05-23,113.41999816894531,1847.800048828125,31880.240234375,3973.75,3970.25
2022-05-24,113.55999755859375,1865.0999755859375,31928.619140625,3941.47998046875,3961.580078125
2022-05-25,114.02999877929688,1846.199951171875,32120.279296875,3978.72998046875,3976.300048828125
2022-05-26,117.4000015258789,1847.4000244140625,32637.189453125,4057.840087890625,3939.47998046875
2022-05-27,119.43000030517578,1851.300048828125,33212.9609375,4158.240234375,3923.75
2022-05-31,122.83999633789062,1842.699951171875,32990.12109375,4132.14990234375,3930.159912109375
2022-06-01,116.29000091552734,1843.300048828125,32813.23046875,4101.22998046875,3974.739990234375
2022-06-02,117.61000061035156,1866.5,33248.28125,4176.81982421875,3858.419921875
2022-06-03,119.72000122070312,1845.4000244140625,32899.69921875,4108.5400390625,3777.25
2022-06-06,119.51000213623047,1839.199951171875,32915.78125,4121.43017578125,3779.610107421875
2022-06-07,120.56999969482422,1847.5,33180.140625,4160.68017578125,3791.419921875
2022-06-08,123.58000183105469,1851.9000244140625,32910.8984375,4115.77001953125,3788.080078125
2022-06-09,123.06999969482422,1848.800048828125,32272.7890625,4017.820068359375,3796.89990234375
2022-06-10,122.01000213623047,1871.5,31392.7890625,3900.860107421875,3848.02001953125
2022-06-13,122.2699966430664,1828.0,30516.740234375,3749.6298828125,3942.64990234375
2022-06-14,121.16999816894531,1809.5,30364.830078125,3735.47998046875,3989.580078125
2022-06-15,118.51000213623047,1815.300048828125,30668.529296875,3789.989990234375,3964.85009765625
2022-06-16,119.80999755859375,1845.699951171875,29927.0703125,3666.77001953125,3904.97998046875
2022-06-17,113.12000274658203,1835.5999755859375,29888.779296875,3674.840087890625,3896.760009765625
2022-06-21,114.6500015258789,1834.5999755859375,30530.25,3764.7900390625,3904.0400390625
2022-06-22,111.73999786376953,1834.300048828125,30483.130859375,3759.889892578125,3981.25
2022-06-23,110.05000305175781,1825.699951171875,30677.359375,3795.72998046875,4016.75
2022-06-24,113.12000274658203,1826.5,31500.6796875,3911.739990234375,4078.590087890625
2022-06-27,115.08999633789062,1820.9000244140625,31438.259765625,3900.110107421875,4138.75
2022-06-28,117.9800033569336,1817.5,30946.990234375,3821.550048828125,4131.080078125
2022-06-29,116.26000213623047,1813.699951171875,31029.310546875,3818.830078125,4106.81005859375
2022-06-30,114.80999755859375,1804.0999755859375,30775.4296875,3785.3798828125,4107.52001953125
2022-07-01,111.62999725341797,1798.9000244140625,31097.259765625,3825.330078125,4149.6201171875
2022-07-05,102.7699966430664,1761.800048828125,30967.8203125,3831.389892578125,4203.2998046875
2022-07-06,100.69000244140625,1734.9000244140625,31037.6796875,3845.080078125,4253.009765625
2022-07-07,104.6500015258789,1737.9000244140625,31384.55078125,3902.6201171875,4327.5400390625
2022-07-08,107.0199966430664,1740.5999755859375,31338.150390625,3899.3798828125,4379.22998046875
2022-07-11,107.0999984741211,1730.0,31173.83984375,3854.429931640625,4418.75
2022-07-12,99.48999786376953,1723.300048828125,30981.330078125,3818.800048828125,4577.1298828125
2022-07-13,99.56999969482422,1734.199951171875,30772.7890625,3801.780029296875,4606.91015625
2022-07-14,99.0999984741211,1704.5,30630.169921875,3790.3798828125,4533.16015625
2022-07-15,101.16000366210938,1702.4000244140625,31288.259765625,3863.159912109375,4490.25
2022-07-18,106.2699966430664,1709.199951171875,31072.609375,3830.85009765625,4357.25
2022-07-19,107.3499984741211,1710.0,31827.05078125,3936.68994140625,4321.52978515625
2022-07-20,106.91999816894531,1699.5,31874.83984375,3959.89990234375,4315.39990234375
2022-07-21,103.86000061035156,1712.699951171875,32036.900390625,3998.949951171875,4354.25
2022-07-22,103.19999694824219,1727.0999755859375,31899.2890625,3961.6298828125,4400.64013671875
2022-07-25,105.1500015258789,1719.0,31990.0390625,3966.840087890625,4463.25
2022-07-26,104.4000015258789,1717.699951171875,31761.5390625,3921.050048828125,4466.0498046875
2022-07-27,106.62000274658203,1719.0999755859375,32197.58984375,4023.610107421875,4449.85986328125
2022-07-28,107.13999938964844,1750.300048828125,32529.630859375,4072.429931640625,4427.89013671875
2022-07-29,110.01000213623047,1762.9000244140625,32845.12890625,4130.2900390625,4373.580078125
2022-08-01,100.02999877929688,1769.0,32798.3984375,4118.6298828125,4285.25
2022-08-02,100.54000091552734,1771.0999755859375,32396.169921875,4091.18994140625,4257.580078125
2022-08-03,96.77999877929688,1758.0,32812.5,4155.169921875,4305.7099609375
2022-08-04,94.12000274658203,1788.5,32726.8203125,4151.93994140625,4311.31982421875
2022-08-05,94.91999816894531,1772.9000244140625,32803.46875,4145.18994140625,4304.25
2022-08-08,96.6500015258789,1786.800048828125,32832.5390625,4140.06005859375,4343.35009765625
2022-08-09,96.30999755859375,1794.0,32774.41015625,4122.47021484375,4310.490234375
2022-08-10,97.4000015258789,1795.5999755859375,33309.51171875,4210.240234375,4335.25
2022-08-11,99.5999984741211,1789.699951171875,33336.671875,4207.27001953125,4270.58984375
2022-08-12,98.1500015258789,1798.5999755859375,33761.05078125,4280.14990234375,4231.25
2022-08-15,95.0999984741211,1781.4000244140625,33912.44140625,4297.14013671875,4160.259765625
2022-08-16,92.33999633789062,1773.199951171875,34152.01171875,4305.2001953125,4159.919921875
2022-08-17,93.6500015258789,1760.300048828125,33980.3203125,4274.0400390625,4237.580078125
2022-08-18,96.58999633789062,1755.300048828125,33999.0390625,4283.740234375,4342.7998046875
2022-08-19,96.72000122070312,1747.5999755859375,33706.73828125,4228.47998046875,4394.919921875
2022-08-22,96.4800033569336,1734.0,33063.609375,4137.990234375,4375.25
2022-08-23,100.22000122070312,1746.800048828125,32909.58984375,4128.72998046875,4398.56982421875
2022-08-24,101.22000122070312,1747.800048828125,32969.23046875,4140.77001953125,4362.419921875
2022-08-25,99.33999633789062,1757.699951171875,33291.78125,4199.1201171875,4390.580078125
2022-08-26,100.98999786376953,1736.0999755859375,32283.400390625,4057.659912109375,4392.18017578125
2022-08-29,105.08999633789062,1736.5999755859375,32098.990234375,4030.610107421875,4399.35986328125
2022-08-30,99.30999755859375,1723.199951171875,31790.869140625,3986.159912109375,4375.580078125
2022-08-31,96.48999786376953,1712.800048828125,31510.4296875,3955.0,4411.919921875
2022-09-01,92.36000061035156,1696.5999755859375,31656.419921875,3966.85009765625,4419.919921875
2022-09-02,93.0199966430664,1709.800048828125,31318.439453125,3924.260009765625,4478.75
2022-09-06,92.83000183105469,1700.4000244140625,31145.30078125,3908.18994140625,4461.580078125
2022-09-07,88.0,1715.300048828125,31581.279296875,3979.8701171875,4600.0
2022-09-08,89.1500015258789,1708.0,31774.51953125,4006.179931640625,4398.5498046875
2022-09-09,92.83999633789062,1716.199951171875,32151.7109375,4067.360107421875,4396.0
2022-09-12,94.0,1728.0999755859375,32381.33984375,4110.41015625,4351.25
2022-09-13,93.16999816894531,1705.0,31104.970703125,3932.68994140625,4359.5
2022-09-14,94.0999984741211,1696.5,31135.08984375,3946.010009765625,4410.75
2022-09-15,90.83999633789062,1665.4000244140625,30961.8203125,3901.35009765625,4390.75
2022-09-16,91.3499984741211,1671.699951171875,30822.419921875,3873.330078125,4416.33984375
2022-09-19,92.0,1666.199951171875,31019.6796875,3899.889892578125,4433.4501953125
2022-09-20,90.62000274658203,1659.699951171875,30706.23046875,3855.929931640625,4405.25
2022-09-21,89.83000183105469,1664.5999755859375,30183.779296875,3789.929931640625,4424.5
2022-09-22,90.45999908447266,1670.800048828125,30076.6796875,3757.989990234375,4406.25
2022-09-23,86.1500015258789,1645.300048828125,29590.41015625,3693.22998046875,4363.35009765625
2022-09-26,84.05999755859375,1623.300048828125,29260.810546875,3655.0400390625,4436.759765625
2022-09-27,86.2699966430664,1626.699951171875,29134.990234375,3647.2900390625,4539.85986328125
2022-09-28,89.31999969482422,1660.4000244140625,29683.740234375,3719.0400390625,4552.259765625
2022-09-29,88.48999786376953,1658.5,29225.609375,3640.469970703125,4488.259765625
2022-09-30,87.95999908447266,1662.4000244140625,28725.509765625,3585.6201171875,4526.9501953125
2022-10-03,88.86000061035156,1692.9000244140625,29490.890625,3678.429931640625,4608.259765625
2022-10-04,91.80000305175781,1721.0999755859375,30316.3203125,3790.929931640625,4528.27001953125
2022-10-05,93.37000274658203,1711.4000244140625,30273.869140625,3783.280029296875,4494.759765625
2022-10-06,94.41999816894531,1711.699951171875,29926.939453125,3744.52001953125,4462.15283203125
2022-10-07,97.91999816894531,1700.5,29296.7890625,3639.659912109375,4611.759765625
2022-10-10,96.19000244140625,1667.300048828125,29202.880859375,3612.389892578125,4618.259765625
2022-10-11,94.29000091552734,1678.699951171875,29239.189453125,3588.840087890625,4604.27978515625
2022-10-12,92.44999694824219,1670.300048828125,29210.849609375,3577.030029296875,4605.509765625
2022-10-13,94.56999969482422,1670.0,30038.720703125,3669.909912109375,4606.16015625
2022-10-14,91.62999725341797,1641.699951171875,29634.830078125,3583.070068359375,4573.9599609375
2022-10-17,91.62000274658203,1657.0,30185.8203125,3677.949951171875,4696.259765625
2022-10-18,90.02999877929688,1649.0,30523.80078125,3719.97998046875,4733.259765625
